ID,CURR_AGE,GENDER,ANN_INCOME,AGE_CAR,AGE_SEG,proba_logreg,pred_logreg,proba_logreg_aligned,pred_logreg_aligned,proba_xgb,pred_xgb,proba_xgb_aligned,pred_xgb_aligned
20710B05XL,54,M,1425390,437,3,0.981937116,1,0.827047371,1,0.9025956,1,0.83685344,1
89602T51HX,47,M,1678954,388,3,0.99111133,1,0.880940706,1,0.9281853,1,0.9507667,1
70190Z52IP,60,M,931624,700,4,0.956631511,1,0.800208915,1,0.8191929,1,0.89972675,1
25623V15MU,55,F,1106320,700,4,0.967231139,1,0.806674324,1,0.85175896,1,0.91369694,1
36230I68CE,32,F,748465,155,1,0.607718612,1,0.269839631,0,0.42111596,0,0.33352593,0
11264G01HZ,48,F,1051927,219,2,0.785340635,1,0.357384909,0,0.5287978,1,0.4179177,0
74250S23UO,26,F,1076402,282,2,0.833723755,1,0.42442909,0,0.6912758,1,0.5119404,1
26735J66DB,45,F,1481949,452,3,0.982638028,1,0.821080042,1,0.9184157,1,0.83317226,1
93404P60ED,55,M,1725607,545,4,0.994223073,1,0.916233829,1,0.8885083,1,0.96794397,1
56557A36QV,64,F,312323,434,3,0.705880183,1,0.572395794,1,0.7648802,1,0.104106255,0
38353F50LZ,53,M,546574,26,1,0.473426372,0,0.238372329,0,0.49407902,0,0.111625485,0
54684T21RX,44,F,1203691,719,4,0.977171475,1,0.84216711,1,0.8892629,1,0.87069315,1
46929E04HS,59,F,724688,9,1,0.516658115,1,0.210289609,0,0.41103816,0,0.2520887,0
20647X82EQ,27,F,975130,118,1,0.743722822,1,0.331380014,0,0.5508183,1,0.34625494,0
34956P25RT,57,F,1422399,78,1,0.863464011,1,0.358589645,0,0.29169676,0,0.44899842,0
07090V20JQ,40,F,1558045,510,4,0.990932226,1,0.888804476,1,0.8995051,1,0.8841018,1
78392T89DQ,33,M,669737,31,1,0.60680957,1,0.298516982,0,0.6271858,1,0.47063532,0
07257K04CB,57,F,774593,182,1,0.553598078,1,0.220167235,0,0.39411402,0,0.21998839,0
65658K80PS,59,F,993201,118,1,0.677417997,1,0.258517238,0,0.296635,0,0.23946363,0
69803K32CS,42,F,1050793,983,4,0.967553909,1,0.819454246,1,0.863451,1,0.789821,1
49525O29YH,40,M,1598014,470,3,0.989961102,1,0.875335548,1,0.9159347,1,0.9168854,1
25740R14MI,63,M,776801,706,4,0.935217254,1,0.766017092,1,0.82417464,1,0.8690938,1
84250L43IB,47,F,1435495,452,3,0.980083227,1,0.810121658,1,0.93113035,1,0.82355857,1
84258G83EV,28,F,787934,254,2,0.703440561,1,0.345092074,0,0.67902666,1,0.44854894,0
53254B39QD,55,F,1867421,87,1,0.951964712,1,0.524259224,1,0.34122458,0,0.41674522,0
97021A36QC,40,F,1005643,7,1,0.729535979,1,0.305233991,0,0.3044897,0,0.12201226,0
47560Z98KV,44,F,1334503,439,3,0.975317789,1,0.800499518,1,0.9082213,1,0.7891761,1
73529T58NE,64,M,342644,403,3,0.760863436,1,0.628314641,1,0.77159727,1,0.1000663,0
30806A42VM,44,F,1227876,90,1,0.818324996,1,0.350879606,0,0.2622318,0,0.2694368,0
00049S85RE,43,F,1370374,51,1,0.867027955,1,0.385028392,0,0.25879565,0,0.25393048,0
26721D43SM,39,M,1381129,855,4,0.988640045,1,0.891452166,1,0.90704805,1,0.85091907,1
82508W18LT,29,F,1141044,22,1,0.811471861,1,0.367899899,0,0.55351585,1,0.4678184,0
80438M73AV,63,M,861120,78,1,0.638614869,1,0.261418963,0,0.3431379,0,0.2715195,0
67814A83LG,51,M,1078531,387,3,0.959220873,1,0.775221034,1,0.87742037,1,0.8152322,1
87070V97ZO,33,F,886139,403,3,0.935590885,1,0.737421664,1,0.9057135,1,0.84550995,1
79093X41WL,45,F,881137,35,1,0.650561771,1,0.266034429,0,0.28282347,0,0.14466281,0
80170A41DA,58,M,1807736,295,2,0.964023225,1,0.612665221,1,0.39567986,0,0.42762852,0
92814K57MF,35,M,1010476,777,4,0.972885797,1,0.853006482,1,0.92574924,1,0.85225475,1
67811V23ZL,63,F,913006,617,4,0.94302978,1,0.755420726,1,0.76284665,1,0.8521771,1
49928Y38OE,62,F,916758,871,4,0.944145692,1,0.75835557,1,0.7687184,1,0.8621765,1
60766Z46OD,61,F,1428077,323,2,0.890236233,1,0.415543379,0,0.36883786,0,0.47194526,0
65221A93PY,54,M,854720,344,2,0.718624822,1,0.340319437,0,0.41832688,0,0.45010534,0
67305F19BO,47,M,1005454,440,3,0.953482287,1,0.769557345,1,0.9281853,1,0.8672018,1
11497L25KD,56,F,879059,96,1,0.619980626,1,0.24158254,0,0.30680227,0,0.24474476,0
06436U96WN,33,F,703621,269,2,0.644295132,1,0.31913405,0,0.5008984,1,0.45600277,0
00974O72DZ,59,F,742484,125,1,0.527824143,1,0.212376451,0,0.39486793,0,0.26103076,0
09160K49TY,52,F,1920738,92,1,0.959115628,1,0.554241911,1,0.3137721,0,0.36932123,0
75377M96JT,43,F,1406605,422,3,0.979558529,1,0.812915921,1,0.9067236,1,0.8206492,1
50391O52JL,27,F,910269,27,1,0.711420313,1,0.315817581,0,0.5508183,1,0.33474788,0
75750M01TD,40,M,1214651,471,3,0.974095484,1,0.821619934,1,0.9159347,1,0.8232232,1
54602F44RW,62,F,1673206,511,4,0.991249874,1,0.882789352,1,0.7687184,1,0.94156885,1
91724K12PZ,55,M,529060,674,4,0.894630286,1,0.753478392,1,0.9601268,1,0.5731258,1
38941M59JI,56,F,1705657,91,1,0.928789943,1,0.457687577,0,0.30680227,0,0.41328958,0
17962B28AZ,62,F,1593162,88,1,0.90169182,1,0.394853663,0,0.3168179,0,0.45509562,0
